event_id,origin_time,year,magnitude,depth_km,method,rmse,mae,class_accuracy,class_within_1,class_mae,effective_density,n_station_all
i2011_000969,2011-03-12 03:59:15.62,2011,6.7,8.38,gmpe_calibrated,0.5228991185040961,0.41254440640549817,0.5771276595744681,0.9835780141843973,0.44442338484679395,27.65899590570838,1253
i2011_000969,2011-03-12 03:59:15.62,2011,6.7,8.38,gmpe_kriging,0.382626405067541,0.2876002842853055,0.6751252341383367,0.9937073704570907,0.33337061426241044,27.65899590570838,1253
i2011_000969,2011-03-12 03:59:15.62,2011,6.7,8.38,gmpe_raw,1.185901840966293,1.0880597491406698,0.1702127659574468,0.7695864366756431,1.0610799677241263,0.0,1253
i2011_000969,2011-03-12 03:59:15.62,2011,6.7,8.38,idw,0.3664177701122301,0.27857985575301725,0.6808510638297872,0.996188791611524,0.3218085106382978,27.65899590570838,1253
i2011_000969,2011-03-12 03:59:15.62,2011,6.7,8.38,kriging,0.38080368951925464,0.2858252752639002,0.6775699744852959,0.995503186232886,0.3284459788556857,27.65899590570838,1253
i2011_002342,2011-03-15 22:31:46.34,2011,6.4,14.31,gmpe_calibrated,0.4194398222509871,0.3224214139690761,0.6458742628707907,0.992955767066739,0.36562403846230296,27.779598988079563,1499
i2011_002342,2011-03-15 22:31:46.34,2011,6.4,14.31,gmpe_kriging,0.3595957082689131,0.2755559876354219,0.6925837174058043,0.9968493635974134,0.314029281443704,27.779598988079563,1499
i2011_002342,2011-03-15 22:31:46.34,2011,6.4,14.31,gmpe_raw,0.8774612704622329,0.8006040623799922,0.29435203910350294,0.9266666666666666,0.7798267149978577,0.0,1499
i2011_002342,2011-03-15 22:31:46.34,2011,6.4,14.31,idw,0.3482850973846414,0.26734237254576776,0.6982643524699599,0.9974138439799076,0.30486871384067643,27.779598988079563,1499
i2011_002342,2011-03-15 22:31:46.34,2011,6.4,14.31,kriging,0.3600200537082412,0.2752075752795169,0.6915887850467289,0.9970874870415609,0.31321520527528923,27.779598988079563,1499
i2011_004633,2011-04-07 23:32:43.46,2011,7.2,65.89,gmpe_calibrated,0.5974567270723625,0.46372126263142,0.546594982078853,0.935483870967742,0.5306739631336406,23.265716574136693,1860
i2011_004633,2011-04-07 23:32:43.46,2011,7.2,65.89,gmpe_kriging,0.3878254487899702,0.2934172311658688,0.6840277777777778,0.9878072196620584,0.3266769073220686,23.265716574136693,1860
